month,new_referrals
2018-01-01,849688.0
2018-02-01,784794.0
2018-03-01,841853.0
2018-04-01,817931.0
2018-05-01,926736.0
2018-06-01,884565.0
2018-07-01,930695.0
2018-08-01,863639.0
2018-09-01,821798.0
2018-10-01,978703.0
2018-11-01,961049.0
2018-12-01,821662.0
2019-01-01,957581.0
2019-02-01,887192.0
2019-03-01,963916.0
2019-04-01,904437.0
2019-05-01,985270.0
2019-06-01,939620.0
2019-07-01,1019868.0
2019-08-01,860450.0
2019-09-01,929078.0
2019-10-01,1064793.0
2019-11-01,984464.0
2019-12-01,881099.0
2020-01-01,1058000.0
2020-02-01,1026852.0
2020-03-01,892501.0
2020-04-01,644573.0
2020-05-01,784459.0
2020-06-01,950854.0
2020-07-01,1037262.0
2020-08-01,920556.0
2020-09-01,1020040.0
2020-10-01,1089232.0
2020-11-01,1079043.0
2020-12-01,971881.0
2021-01-01,960772.0
2021-02-01,980095.0
2021-03-01,1213572.0
2021-04-01,1099711.0
2021-05-01,1162383.0
2021-06-01,1183305.0
2021-07-01,1129985.0
2021-08-01,983106.0
2021-09-01,1099645.0
2021-10-01,1134851.0
2021-11-01,1218205.0
2021-12-01,1072414.0
2022-01-01,1167286.0
2022-02-01,1150653.0
2022-03-01,1275767.0
2022-04-01,3900483.0
2022-05-01,1258791.0
2022-06-01,2214869.0
2022-07-01,4094121.0
2022-08-01,669045.0
2022-09-01,692805.0
2022-10-01,743755.0
2022-11-01,797625.0
2022-12-01,632510.0
